cell_per_block,colorspace,hog_channel,n_predict,nfeatures,orient,pix_per_cell,predict_secs,test_accy,train_secs
1,YCrCb,1,10,300,12,12,0.00303,0.96,0.01
1,YCrCb,1,10,192,12,16,0.00309,0.96,0.01
1,LUV,1,10,240,15,16,0.0032,0.96,0.01
4,YCrCb,1,10,144,9,16,0.0034,0.96,0.01
1,HSV,0,10,375,15,12,0.00278,0.96,0.02
1,HLS,0,10,300,12,12,0.00291,0.96,0.02
4,YUV,2,10,192,12,16,0.00292,0.96,0.02
1,YUV,2,10,240,15,16,0.00379,0.96,0.02
1,HLS,0,10,384,6,8,0.00408,0.96,0.02
1,HLS,0,10,192,12,16,0.00566,0.96,0.02
1,RGB,1,10,300,12,12,0.00287,0.96,0.03
3,YUV,1,10,216,6,16,0.00305,0.96,0.03
1,LUV,2,10,384,6,8,0.00309,0.96,0.03
3,YUV,1,10,432,12,16,0.00309,0.96,0.03
2,YCrCb,1,10,384,6,12,0.00354,0.96,0.03
1,LUV,0,10,384,6,8,0.00383,0.96,0.03
1,YCrCb,1,10,576,9,8,0.00387,0.96,0.03
1,HLS,1,10,225,9,12,0.00443,0.96,0.03
1,HSV,0,10,576,9,8,0.00276,0.96,0.04
4,YCrCb,1,10,576,9,12,0.00287,0.96,0.04
1,RGB,1,10,576,9,8,0.00316,0.96,0.04
3,HLS,0,10,432,12,16,0.00318,0.96,0.04
1,LUV,2,10,576,9,8,0.00323,0.96,0.04
4,YCrCb,0,10,96,6,16,0.00326,0.96,0.04
1,YCrCb,2,10,576,9,8,0.0033,0.96,0.04
1,HSV,2,10,96,6,16,0.00342,0.96,0.04
1,YCrCb,0,10,384,6,8,0.00357,0.96,0.04
1,LUV,1,10,576,9,8,0.00364,0.96,0.04
1,HSV,2,10,576,9,8,0.00388,0.96,0.04
4,HSV,2,10,240,15,16,0.00291,0.96,0.05
2,YCrCb,0,10,324,9,16,0.00315,0.96,0.05
3,YCrCb,1,10,1215,15,12,0.0032,0.96,0.05
4,YCrCb,1,10,960,15,12,0.00354,0.96,0.05
2,HSV,0,10,384,6,12,0.00702,0.96,0.05
2,LUV,0,10,324,9,16,0.00293,0.96,0.06
1,LUV,2,10,960,15,8,0.00307,0.96,0.06
2,YUV,1,10,1176,6,8,0.0031,0.96,0.06
1,LUV,0,10,768,12,8,0.00361,0.96,0.06
4,YCrCb,2,10,960,15,12,0.00304,0.96,0.07
2,YUV,2,10,1176,6,8,0.0031,0.96,0.07
2,LUV,1,10,216,6,16,0.00356,0.96,0.07
2,HSV,2,10,576,9,12,0.00367,0.96,0.07
2,HLS,1,10,768,12,12,0.00391,0.96,0.07
4,LUV,2,10,960,15,12,0.00628,0.96,0.07
2,HLS,0,10,384,6,12,0.0029,0.96,0.08
3,HSV,ALL,10,1296,12,16,0.00308,0.96,0.08
3,YCrCb,2,10,432,12,16,0.00342,0.96,0.08
1,HSV,1,10,960,15,8,0.00433,0.96,0.08
3,YCrCb,0,10,540,15,16,0.00287,0.96,0.09
1,RGB,0,10,960,15,8,0.00332,0.96,0.09
3,YUV,0,10,540,15,16,0.0036,0.96,0.09
4,LUV,2,10,768,12,12,0.00502,0.96,0.09
2,YUV,0,10,960,15,12,0.07525,0.96,0.09
1,YCrCb,0,10,1536,6,4,0.00312,0.96,0.1
2,RGB,2,10,960,15,12,0.00316,0.96,0.1
3,YCrCb,2,10,216,6,16,0.00316,0.96,0.1
1,YUV,0,10,1536,6,4,0.00332,0.96,0.1
2,HSV,2,10,1176,6,8,0.00365,0.96,0.1
2,RGB,2,10,576,9,12,0.00457,0.96,0.1
4,YUV,0,10,768,12,12,0.00314,0.96,0.11
2,LUV,0,10,1764,9,8,0.00338,0.96,0.11
3,YUV,0,10,324,9,16,0.00327,0.96,0.12
1,LUV,1,10,2304,9,4,0.00334,0.96,0.12
1,RGB,2,10,1536,6,4,0.00399,0.96,0.13
2,YCrCb,0,10,1764,9,8,0.00408,0.96,0.13
2,YCrCb,0,10,576,9,12,0.00485,0.96,0.13
2,HLS,0,10,1764,9,8,0.00318,0.96,0.14
4,YUV,1,10,2400,6,8,0.00335,0.96,0.14
1,YCrCb,1,10,3072,12,4,0.00335,0.96,0.14
3,LUV,0,10,972,12,12,0.00388,0.96,0.14
3,YUV,1,10,1944,6,8,0.004,0.96,0.14
1,LUV,1,10,3072,12,4,0.00308,0.96,0.15
3,RGB,1,10,486,6,12,0.00396,0.96,0.15
2,YCrCb,1,10,2940,15,8,0.0051,0.96,0.15
1,YUV,0,10,3072,12,4,0.00369,0.96,0.16
3,RGB,1,10,972,12,12,0.00394,0.96,0.16
2,LUV,1,10,2940,15,8,0.00399,0.96,0.16
3,HLS,1,10,972,12,12,0.00462,0.96,0.17
1,HLS,2,10,3072,12,4,0.0047,0.96,0.17
1,RGB,2,10,3072,12,4,0.00294,0.96,0.18
1,RGB,ALL,10,1728,9,8,0.00301,0.96,0.18
3,HSV,ALL,10,2187,9,12,0.00324,0.96,0.19
3,LUV,2,10,2916,9,8,0.0035,0.96,0.19
1,RGB,1,10,3840,15,4,0.00516,0.96,0.19
3,YUV,1,10,2916,9,8,0.00327,0.96,0.21
3,RGB,1,10,1944,6,8,0.00338,0.96,0.21
3,HSV,0,10,3888,12,8,0.0034,0.96,0.21
4,YCrCb,2,10,2400,6,8,0.00398,0.96,0.21
1,YCrCb,0,10,3840,15,4,0.00408,0.96,0.21
4,LUV,1,10,3600,9,8,0.00328,0.96,0.22
4,YCrCb,1,10,3600,9,8,0.0039,0.96,0.22
2,YCrCb,0,10,2940,15,8,0.00428,0.96,0.22
2,RGB,ALL,10,1152,6,12,0.00466,0.96,0.22
1,HSV,0,10,2304,9,4,0.00475,0.96,0.23
3,LUV,2,10,4860,15,8,0.00402,0.96,0.26
4,YUV,2,10,4800,12,8,0.00389,0.96,0.27
3,HLS,0,10,4860,15,8,0.00348,0.96,0.29
3,HSV,0,10,4860,15,8,0.00393,0.96,0.29
4,RGB,0,10,2400,6,8,0.00319,0.96,0.31
4,LUV,1,10,6000,15,8,0.00357,0.96,0.33
3,RGB,0,10,3888,12,8,0.0058,0.96,0.33
2,LUV,0,10,2940,15,8,0.00405,0.96,0.34
4,RGB,1,10,2400,6,8,0.00364,0.96,0.35
3,RGB,ALL,10,3645,15,12,0.00355,0.96,0.37
4,RGB,ALL,10,2304,12,12,0.00563,0.96,0.38
4,HLS,1,10,4800,12,8,0.00443,0.96,0.39
2,HLS,0,10,8100,9,4,0.0042,0.96,0.4
4,RGB,2,10,3600,9,8,0.00612,0.96,0.4
3,RGB,ALL,10,1458,6,12,0.00327,0.96,0.41
2,YCrCb,0,10,5400,6,4,0.00338,0.96,0.41
3,HLS,ALL,10,5832,6,8,0.00367,0.96,0.41
3,HLS,1,10,4860,15,8,0.00386,0.96,0.42
3,YCrCb,0,10,4860,15,8,0.00647,0.96,0.42
1,YCrCb,ALL,10,9216,12,4,0.00318,0.96,0.5
4,RGB,0,10,6000,15,8,0.00328,0.96,0.51
2,LUV,1,10,10800,12,4,0.00456,0.96,0.6
2,HSV,2,10,10800,12,4,0.00457,0.96,0.66
2,RGB,2,10,10800,12,4,0.00503,0.96,0.71
3,HLS,1,10,10584,6,4,0.00362,0.96,0.78
3,YUV,1,10,15876,9,4,0.00516,0.96,0.87
2,RGB,0,10,13500,15,4,0.00387,0.96,0.91
2,YCrCb,0,10,10800,12,4,0.00526,0.96,1.04
4,YCrCb,2,10,16224,6,4,0.08229,0.96,1.04
3,HLS,1,10,15876,9,4,0.00376,0.96,1.17
3,YUV,2,10,26460,15,4,0.00409,0.96,1.32
2,RGB,ALL,10,16200,6,4,0.00525,0.96,1.68
4,RGB,2,10,24336,9,4,0.00518,0.96,1.7
4,HLS,1,10,16224,6,4,0.00363,0.96,1.74
3,RGB,0,10,21168,12,4,0.02281,0.96,2.15
3,RGB,0,10,26460,15,4,0.004,0.96,2.17
4,RGB,0,10,24336,9,4,0.00408,0.96,2.22
4,RGB,1,10,32448,12,4,0.00488,0.96,2.39
4,HLS,1,10,40560,15,4,0.00531,0.96,2.7
4,RGB,2,10,40560,15,4,0.00689,0.96,2.99
2,RGB,ALL,10,40500,15,4,0.00498,0.96,3.61
4,RGB,ALL,10,121680,15,4,0.00834,0.96,31.95
1,YCrCb,1,10,225,9,12,0.0032,0.955,0.01
1,YUV,1,10,225,9,12,0.00358,0.955,0.01
1,YUV,1,10,300,12,12,0.00359,0.955,0.01
1,YUV,1,10,192,12,16,0.0036,0.955,0.01
1,YUV,1,10,384,6,8,0.00299,0.955,0.02
1,YCrCb,2,10,240,15,16,0.00301,0.955,0.02
1,HLS,0,10,375,15,12,0.00308,0.955,0.02
1,HLS,0,10,225,9,12,0.00336,0.955,0.02
1,YUV,0,10,192,12,16,0.00337,0.955,0.02
1,LUV,ALL,10,450,6,12,0.00398,0.955,0.02
1,YUV,0,10,300,12,12,0.00303,0.955,0.03
3,YUV,1,10,540,15,16,0.00315,0.955,0.03
1,RGB,1,10,375,15,12,0.00347,0.955,0.03
4,LUV,2,10,96,6,16,0.00347,0.955,0.03
4,HSV,0,10,192,12,16,0.00367,0.955,0.03
4,YUV,1,10,576,9,12,0.0039,0.955,0.03
1,YCrCb,2,10,384,6,8,0.00402,0.955,0.03
4,HLS,1,10,192,12,16,0.00309,0.955,0.04
4,YUV,1,10,384,6,12,0.00314,0.955,0.04
4,YCrCb,0,10,144,9,16,0.00329,0.955,0.04
1,YUV,0,10,225,9,12,0.00336,0.955,0.04
1,HLS,1,10,240,15,16,0.00342,0.955,0.04
4,LUV,2,10,384,6,12,0.00364,0.955,0.04
1,HSV,2,10,384,6,8,0.00381,0.955,0.04
3,LUV,1,10,432,12,16,0.004,0.955,0.04
4,HSV,0,10,96,6,16,0.00299,0.955,0.05
2,RGB,1,10,324,9,16,0.00303,0.955,0.05
3,LUV,2,10,972,12,12,0.00312,0.955,0.05
1,HLS,0,10,576,9,8,0.00322,0.955,0.05
1,HSV,1,10,768,12,8,0.00338,0.955,0.05
1,RGB,2,10,768,12,8,0.00365,0.955,0.05
1,YUV,2,10,960,15,8,0.00366,0.955,0.05
1,YCrCb,0,10,300,12,12,0.00767,0.955,0.05
2,YCrCb,0,10,216,6,16,0.00298,0.955,0.06
1,HLS,1,10,960,15,8,0.00304,0.955,0.06
3,YUV,2,10,540,15,16,0.00305,0.955,0.06
3,LUV,0,10,432,12,16,0.00324,0.955,0.06
3,LUV,2,10,540,15,16,0.00334,0.955,0.06
2,HSV,0,10,576,9,12,0.00346,0.955,0.06
2,HLS,1,10,576,9,12,0.00356,0.955,0.06
2,LUV,0,10,384,6,12,0.00375,0.955,0.06
1,RGB,2,10,576,9,8,0.00616,0.955,0.06
2,LUV,0,10,576,9,12,0.00296,0.955,0.07
2,RGB,2,10,540,15,16,0.00349,0.955,0.07
2,HLS,0,10,960,15,12,0.00362,0.955,0.07
2,HSV,0,10,540,15,16,0.00366,0.955,0.07
1,YUV,0,10,960,15,8,0.00378,0.955,0.07
3,LUV,2,10,486,6,12,0.00555,0.955,0.07
3,RGB,1,10,216,6,16,0.00293,0.955,0.08
3,YUV,0,10,432,12,16,0.00302,0.955,0.08
1,RGB,ALL,10,720,15,16,0.00307,0.955,0.08
3,HSV,ALL,10,972,9,16,0.00319,0.955,0.08
3,YCrCb,0,10,324,9,16,0.00366,0.955,0.08
2,HLS,1,10,432,12,16,0.00443,0.955,0.08
2,HSV,2,10,216,6,16,0.00463,0.955,0.08
2,YCrCb,0,10,1176,6,8,0.00333,0.955,0.09
2,YUV,1,10,1764,9,8,0.00348,0.955,0.09
3,HSV,2,10,216,6,16,0.00349,0.955,0.09
2,LUV,2,10,1764,9,8,0.00443,0.955,0.1
1,YUV,1,10,2304,9,4,0.00381,0.955,0.11
2,RGB,2,10,384,6,12,0.00372,0.955,0.12
2,YCrCb,2,10,1764,9,8,0.00431,0.955,0.12
1,RGB,ALL,10,900,12,12,0.0054,0.955,0.12
1,RGB,ALL,10,675,9,12,0.00402,0.955,0.13
2,YCrCb,1,10,2352,12,8,0.00403,0.955,0.13
4,HSV,2,10,960,15,12,0.00313,0.955,0.14
3,LUV,2,10,1944,6,8,0.00368,0.955,0.14
3,RGB,ALL,10,648,6,16,0.00545,0.955,0.14
4,LUV,1,10,2400,6,8,0.00667,0.955,0.15
3,YUV,0,10,729,9,12,0.00383,0.955,0.16
3,HLS,ALL,10,2187,9,12,0.00346,0.955,0.17
2,HLS,1,10,2352,12,8,0.00364,0.955,0.17
2,HSV,2,10,2352,12,8,0.0037,0.955,0.17
3,RGB,0,10,972,12,12,0.00519,0.955,0.17
4,HLS,1,10,768,12,12,0.00526,0.955,0.17
4,RGB,0,10,960,15,12,0.00352,0.955,0.18
3,HSV,2,10,972,12,12,0.00353,0.955,0.18
2,RGB,ALL,10,1296,12,16,0.00372,0.955,0.18
1,RGB,ALL,10,2880,15,8,0.00334,0.955,0.2
3,YUV,2,10,3888,12,8,0.00413,0.955,0.2
1,LUV,0,10,3840,15,4,0.00414,0.955,0.2
2,RGB,0,10,2940,15,8,0.00417,0.955,0.21
1,HSV,1,10,3840,15,4,0.00497,0.955,0.21
3,LUV,0,10,324,9,16,0.01037,0.955,0.21
3,YCrCb,2,10,3888,12,8,0.00463,0.955,0.25
3,HSV,2,10,1944,6,8,0.00325,0.955,0.28
3,YUV,0,10,3888,12,8,0.00376,0.955,0.28
4,YCrCb,2,10,4800,12,8,0.004,0.955,0.29
4,HSV,0,10,4800,12,8,0.00408,0.955,0.29
3,LUV,0,10,3888,12,8,0.0034,0.955,0.3
4,RGB,ALL,10,2880,15,12,0.0037,0.955,0.34
4,YCrCb,0,10,3600,9,8,0.00367,0.955,0.35
4,HLS,1,10,3600,9,8,0.00407,0.955,0.35
4,LUV,2,10,6000,15,8,0.0047,0.955,0.35
4,HSV,2,10,3600,9,8,0.00415,0.955,0.37
4,HSV,0,10,6000,15,8,0.00405,0.955,0.4
4,RGB,1,10,3600,9,8,0.0047,0.955,0.43
2,YUV,0,10,8100,9,4,0.00411,0.955,0.49
4,RGB,2,10,4800,12,8,0.00408,0.955,0.53
2,YUV,1,10,13500,15,4,0.0048,0.955,0.65
3,LUV,1,10,10584,6,4,0.00346,0.955,0.67
2,RGB,0,10,5400,6,4,0.00452,0.955,0.72
3,YCrCb,2,10,10584,6,4,0.0054,0.955,0.73
3,HLS,2,10,10584,6,4,0.00363,0.955,0.76
2,RGB,1,10,10800,12,4,0.00241,0.955,0.78
3,YUV,0,10,10584,6,4,0.004,0.955,0.82
4,LUV,1,10,16224,6,4,0.00506,0.955,0.92
3,HSV,0,10,15876,9,4,0.00359,0.955,0.99
3,HSV,1,10,21168,12,4,0.00465,0.955,1.31
3,HLS,2,10,21168,12,4,0.00374,0.955,1.4
4,RGB,0,10,16224,6,4,0.00799,0.955,1.65
3,RGB,2,10,21168,12,4,0.00562,0.955,2.19
4,YUV,1,10,144,9,16,0.00297,0.95,0.01
1,YCrCb,1,10,144,9,16,0.00284,0.95,0.02
1,HSV,0,10,150,6,12,0.00308,0.95,0.02
1,LUV,1,10,375,15,12,0.00356,0.95,0.02
1,YCrCb,2,10,192,12,16,0.00395,0.95,0.02
1,HSV,0,10,192,12,16,0.00436,0.95,0.02
1,YUV,2,10,375,15,12,0.00437,0.95,0.02
4,LUV,0,10,144,9,16,0.00291,0.95,0.03
2,LUV,2,10,432,12,16,0.00303,0.95,0.03
4,HLS,ALL,10,288,6,16,0.00322,0.95,0.03
1,HSV,2,10,375,15,12,0.00338,0.95,0.03
1,YUV,2,10,384,6,8,0.00349,0.95,0.03
2,YCrCb,1,10,324,9,16,0.00394,0.95,0.03
4,RGB,0,10,240,15,16,0.00437,0.95,0.03
1,LUV,2,10,375,15,12,0.00459,0.95,0.03
1,YUV,0,10,384,6,8,0.00304,0.95,0.04
1,RGB,0,10,300,12,12,0.00305,0.95,0.04
2,LUV,1,10,324,9,16,0.00356,0.95,0.04
2,LUV,1,10,432,12,16,0.00357,0.95,0.04
1,HSV,ALL,10,675,9,12,0.00369,0.95,0.04
4,YCrCb,0,10,240,15,16,0.00391,0.95,0.04
2,LUV,2,10,540,15,16,0.00288,0.95,0.05
2,LUV,1,10,384,6,12,0.00295,0.95,0.05
1,YCrCb,2,10,960,15,8,0.00336,0.95,0.05
4,HSV,2,10,192,12,16,0.00355,0.95,0.05
4,LUV,1,10,384,6,12,0.00387,0.95,0.05
2,YCrCb,2,10,768,12,12,0.00389,0.95,0.05
1,HSV,2,10,144,9,16,0.00294,0.95,0.06
3,LUV,1,10,216,6,16,0.00316,0.95,0.06
2,YUV,2,10,960,15,12,0.00365,0.95,0.06
2,YUV,0,10,432,12,16,0.00371,0.95,0.06
2,YCrCb,0,10,432,12,16,0.00378,0.95,0.06
2,HSV,0,10,960,15,12,0.0041,0.95,0.06
3,YCrCb,2,10,540,15,16,0.00293,0.95,0.07
2,RGB,0,10,540,15,16,0.00313,0.95,0.07
2,RGB,1,10,540,15,16,0.0036,0.95,0.07
3,RGB,1,10,540,15,16,0.00367,0.95,0.07
3,YUV,2,10,216,6,16,0.00373,0.95,0.07
3,YUV,2,10,729,9,12,0.00377,0.95,0.07
2,HSV,0,10,1176,6,8,0.00384,0.95,0.07
1,RGB,ALL,10,432,9,16,0.00486,0.95,0.07
3,LUV,2,10,729,9,12,0.006,0.95,0.07
2,LUV,0,10,768,12,12,0.00294,0.95,0.08
2,YCrCb,2,10,216,6,16,0.00322,0.95,0.08
1,LUV,1,10,1536,6,4,0.00334,0.95,0.08
2,RGB,0,10,384,6,12,0.00345,0.95,0.08
2,HSV,2,10,432,12,16,0.00396,0.95,0.08
3,LUV,0,10,540,15,16,0.00407,0.95,0.08
1,RGB,2,10,144,9,16,0.00478,0.95,0.08
2,HLS,1,10,384,6,12,0.00296,0.95,0.09
4,HLS,0,10,768,12,12,0.00424,0.95,0.09
1,LUV,0,10,960,15,8,0.00428,0.95,0.09
2,RGB,1,10,384,6,12,0.00455,0.95,0.09
2,HSV,2,10,540,15,16,0.00469,0.95,0.09
4,RGB,1,10,960,15,12,0.00358,0.95,0.1
3,HLS,1,10,432,12,16,0.0031,0.95,0.11
2,LUV,2,10,2352,12,8,0.00321,0.95,0.11
1,RGB,0,10,1536,6,4,0.00396,0.95,0.11
3,HLS,1,10,540,15,16,0.00305,0.95,0.12
2,HSV,1,10,960,15,12,0.00314,0.95,0.12
2,YUV,2,10,2352,12,8,0.00349,0.95,0.12
3,HSV,0,10,729,9,12,0.00306,0.95,0.13
2,RGB,ALL,10,648,6,16,0.00382,0.95,0.13
1,YCrCb,2,10,2304,9,4,0.00426,0.95,0.13
3,YUV,0,10,972,12,12,0.00431,0.95,0.13
4,YCrCb,0,10,960,15,12,0.00463,0.95,0.13
3,HLS,0,10,1944,6,8,0.00338,0.95,0.14
4,YUV,0,10,576,9,12,0.00356,0.95,0.14
4,RGB,1,10,384,6,12,0.00364,0.95,0.14
3,RGB,ALL,10,1296,12,16,0.00322,0.95,0.15
1,YCrCb,2,10,3072,12,4,0.00347,0.95,0.15
1,HLS,1,10,2304,9,4,0.00392,0.95,0.15
3,RGB,0,10,432,12,16,0.00509,0.95,0.15
1,HSV,1,10,3072,12,4,0.00345,0.95,0.16
3,YCrCb,0,10,1215,15,12,0.005,0.95,0.16
3,RGB,0,10,324,9,16,0.00562,0.95,0.16
2,HLS,ALL,10,3528,6,8,0.00446,0.95,0.17
3,RGB,2,10,1215,15,12,0.00297,0.95,0.18
4,YUV,2,10,2400,6,8,0.00383,0.95,0.18
1,RGB,0,10,2304,9,4,0.00394,0.95,0.18
3,HSV,2,10,1215,15,12,0.00318,0.95,0.19
1,HLS,2,10,3840,15,4,0.00373,0.95,0.2
1,RGB,0,10,3840,15,4,0.00793,0.95,0.25
4,YCrCb,2,10,3600,9,8,0.00447,0.95,0.29
3,HSV,1,10,2916,9,8,0.00356,0.95,0.3
4,RGB,0,10,3600,9,8,0.00362,0.95,0.36
3,HSV,2,10,4860,15,8,0.00334,0.95,0.38
4,LUV,0,10,6000,15,8,0.00368,0.95,0.49
4,RGB,1,10,6000,15,8,0.0036,0.95,0.5
4,YUV,0,10,6000,15,8,0.00343,0.95,0.51
2,YUV,2,10,10800,12,4,0.0051,0.95,0.57
4,YCrCb,1,10,16224,6,4,0.03903,0.95,0.93
3,LUV,0,10,21168,12,4,0.00374,0.95,1.31
3,YCrCb,1,10,26460,15,4,0.00613,0.95,1.51
4,HSV,0,10,24336,9,4,0.00415,0.95,1.54
4,HLS,2,10,24336,9,4,0.00474,0.95,2.1
1,HLS,1,10,192,12,16,0.00304,0.945,0.02
1,YCrCb,1,10,150,6,12,0.00309,0.945,0.02
1,YUV,2,10,144,9,16,0.00314,0.945,0.02
4,YUV,2,10,240,15,16,0.00329,0.945,0.02
1,LUV,1,10,300,12,12,0.00367,0.945,0.02
4,YCrCb,1,10,96,6,16,0.00374,0.945,0.02
1,RGB,1,10,384,6,8,0.00322,0.945,0.03
4,YUV,1,10,96,6,16,0.00324,0.945,0.03
3,YCrCb,1,10,540,15,16,0.00352,0.945,0.03
4,HLS,ALL,10,432,9,16,0.0037,0.945,0.03
4,RGB,1,10,192,12,16,0.00386,0.945,0.03
2,YCrCb,1,10,576,9,12,0.00394,0.945,0.03
4,LUV,0,10,240,15,16,0.00289,0.945,0.04
1,HSV,1,10,300,12,12,0.00295,0.945,0.04
4,HSV,0,10,240,15,16,0.00295,0.945,0.04
1,LUV,2,10,150,6,12,0.00297,0.945,0.04
1,HSV,1,10,384,6,8,0.00302,0.945,0.04
4,YUV,2,10,96,6,16,0.0031,0.945,0.04
2,YCrCb,2,10,540,15,16,0.00314,0.945,0.04
1,RGB,1,10,768,12,8,0.00322,0.945,0.04
3,YCrCb,1,10,216,6,16,0.00339,0.945,0.04
1,YUV,2,10,768,12,8,0.0034,0.945,0.04
4,YUV,0,10,192,12,16,0.00341,0.945,0.04
4,LUV,1,10,576,9,12,0.00349,0.945,0.04
1,HSV,2,10,225,9,12,0.0035,0.945,0.04
4,LUV,1,10,96,6,16,0.00362,0.945,0.04
4,HLS,0,10,240,15,16,0.00362,0.945,0.04
4,YUV,0,10,240,15,16,0.00411,0.945,0.04
2,LUV,2,10,324,9,16,0.00417,0.945,0.04
2,RGB,2,10,324,9,16,0.00329,0.945,0.05
1,YUV,0,10,768,12,8,0.00376,0.945,0.05
1,YCrCb,0,10,192,12,16,0.00377,0.945,0.05
4,YUV,2,10,576,9,12,0.004,0.945,0.05
4,RGB,ALL,10,288,6,16,0.00499,0.945,0.05
1,RGB,0,10,576,9,8,0.00271,0.945,0.06
2,HLS,1,10,216,6,16,0.0029,0.945,0.06
1,HSV,2,10,960,15,8,0.00313,0.945,0.06
2,HLS,1,10,540,15,16,0.00322,0.945,0.06
2,RGB,2,10,432,12,16,0.00368,0.945,0.06
1,HLS,2,10,960,15,8,0.00369,0.945,0.06
2,LUV,1,10,1176,6,8,0.00374,0.945,0.06
1,HSV,0,10,960,15,8,0.00612,0.945,0.06
2,HSV,2,10,384,6,12,0.00289,0.945,0.07
3,HSV,2,10,540,15,16,0.00302,0.945,0.07
2,YUV,0,10,384,6,12,0.00345,0.945,0.07
3,HSV,0,10,486,6,12,0.00346,0.945,0.07
